,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
319855,C564907,23168,CLASSIC CAFE SUGAR DISPENSER,-1,8/31/2011 12:24,1.25,18225.0,United Kingdom
319856,C564907,22804,CANDLEHOLDER PINK HANGING HEART,-1,8/31/2011 12:24,2.95,18225.0,United Kingdom
319857,C564907,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,8/31/2011 12:24,4.95,18225.0,United Kingdom
319858,C564907,22180,RETROSPOT LAMP,-1,8/31/2011 12:24,9.95,18225.0,United Kingdom
319859,C564907,21429,RED GINGHAM ROSE JEWELLERY BOX,-1,8/31/2011 12:24,1.95,18225.0,United Kingdom
319860,C564908,22729,ALARM CLOCK BAKELIKE ORANGE,-1,8/31/2011 12:26,3.75,17705.0,United Kingdom
319861,C564908,22726,ALARM CLOCK BAKELIKE GREEN,-1,8/31/2011 12:26,3.75,17705.0,United Kingdom
319862,C564908,23112,PARISIENNE CURIO CABINET,-2,8/31/2011 12:26,7.5,17705.0,United Kingdom
319863,C564908,22767,TRIPLE PHOTO FRAME CORNICE ,-1,8/31/2011 12:26,9.95,17705.0,United Kingdom
319864,C564908,22768,FAMILY PHOTO FRAME CORNICE,-1,8/31/2011 12:26,9.95,17705.0,United Kingdom
319865,C564909,D,Discount,-1,8/31/2011 12:29,66.17,15498.0,United Kingdom
319866,C564909,D,Discount,-1,8/31/2011 12:29,33.75,15498.0,United Kingdom
319869,C564911,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,-1,8/31/2011 12:32,3.75,16133.0,United Kingdom
319889,C564913,22998,TRAVEL CARD WALLET KEEP CALM,-24,8/31/2011 12:39,0.42,12560.0,Germany
319890,C564913,84030E,ENGLISH ROSE HOT WATER BOTTLE,-2,8/31/2011 12:39,4.25,12560.0,Germany
319891,C564913,23174,REGENCY SUGAR BOWL GREEN,-1,8/31/2011 12:39,4.15,12560.0,Germany
319892,C564913,22963,JAM JAR WITH GREEN LID,-2,8/31/2011 12:39,0.72,12560.0,Germany
319893,C564913,22637,PIGGY BANK RETROSPOT ,-2,8/31/2011 12:39,2.1,12560.0,Germany
319894,C564913,22960,JAM MAKING SET WITH JARS,-1,8/31/2011 12:39,4.25,12560.0,Germany
319895,564914,85132C,damages,-109,8/31/2011 12:40,0.0,,United Kingdom
319911,C564940,22564,ALPHABET STENCIL CRAFT,-432,8/31/2011 13:10,1.06,12931.0,United Kingdom
319912,C564940,23207,LUNCH BAG ALPHABET DESIGN,-250,8/31/2011 13:10,1.45,12931.0,United Kingdom
319913,C564940,23203,JUMBO BAG VINTAGE DOILY ,-200,8/31/2011 13:10,1.79,12931.0,United Kingdom
319914,C564940,23201,JUMBO BAG ALPHABET,-140,8/31/2011 13:10,1.79,12931.0,United Kingdom
319915,C564940,22992,REVOLVER WOODEN RULER ,-400,8/31/2011 13:10,1.65,12931.0,United Kingdom
319916,C564940,22991,GIRAFFE WOODEN RULER,-400,8/31/2011 13:10,1.65,12931.0,United Kingdom
319917,C564940,22561,WOODEN SCHOOL COLOURING SET,-252,8/31/2011 13:10,1.45,12931.0,United Kingdom
319918,C564940,22493,PAINT YOUR OWN CANVAS SET,-110,8/31/2011 13:10,1.45,12931.0,United Kingdom
319919,C564940,20974,12 PENCILS SMALL TUBE SKULL,-334,8/31/2011 13:10,0.65,12931.0,United Kingdom
319920,C564941,22193,RED DINER WALL CLOCK,-2,8/31/2011 13:18,8.5,13709.0,United Kingdom
319921,C564941,22189,CREAM HEART CARD HOLDER,-4,8/31/2011 13:18,3.95,13709.0,United Kingdom
319922,C564942,21363,HOME SMALL WOOD LETTERS,-1,8/31/2011 13:19,4.95,18097.0,United Kingdom
319937,C564944,84251B,"GREETING CARD, STICKY GORDON",-12,8/31/2011 13:24,0.19,13078.0,United Kingdom
319938,C564945,22560,TRADITIONAL MODELLING CLAY,-1,8/31/2011 13:26,1.06,16652.0,United Kingdom
319939,C564945,20685,DOORMAT RED RETROSPOT,-10,8/31/2011 13:26,6.75,16652.0,United Kingdom
319940,C564946,85099C,JUMBO  BAG BAROQUE BLACK WHITE,-1,8/31/2011 13:27,2.08,13534.0,United Kingdom
319941,C564946,23201,JUMBO BAG ALPHABET,-2,8/31/2011 13:27,2.08,13534.0,United Kingdom
319942,C564946,23199,JUMBO BAG APPLES,-3,8/31/2011 13:27,2.08,13534.0,United Kingdom
319943,C564947,22106,MIRROR MOSAIC HURRICANE LAMP ,-1,8/31/2011 13:29,6.75,17747.0,United Kingdom
319944,C564948,22363,GLASS JAR MARMALADE ,-1,8/31/2011 13:29,2.95,14895.0,United Kingdom
319945,C564948,21784,SHOE SHINE BOX ,-2,8/31/2011 13:29,9.95,14895.0,United Kingdom
319971,C564949,22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,-12,8/31/2011 13:31,1.32,17706.0,United Kingdom
319973,C564952,23209,LUNCH BAG VINTAGE DOILY ,-2,8/31/2011 13:36,1.65,14188.0,United Kingdom
319974,C564952,20724,RED RETROSPOT CHARLOTTE BAG,-1,8/31/2011 13:36,0.85,14188.0,United Kingdom
319987,C564955,21844,RED RETROSPOT MUG,-6,8/31/2011 13:39,2.95,15786.0,United Kingdom
319988,C564955,22796,PHOTO FRAME 3 CLASSIC HANGING,-2,8/31/2011 13:39,9.95,15786.0,United Kingdom
319989,C564955,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-12,8/31/2011 13:39,0.85,15786.0,United Kingdom
319990,C564955,21671,RED SPOT CERAMIC DRAWER KNOB,-1,8/31/2011 13:39,1.25,15786.0,United Kingdom
319991,C564955,22637,PIGGY BANK RETROSPOT ,-1,8/31/2011 13:39,2.55,15786.0,United Kingdom
319992,C564955,22892,SET OF SALT AND PEPPER TOADSTOOLS,-2,8/31/2011 13:39,1.25,15786.0,United Kingdom
319993,C564955,22891,TEA FOR ONE POLKADOT,-1,8/31/2011 13:39,4.25,15786.0,United Kingdom
319994,C564955,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-1,8/31/2011 13:39,2.95,15786.0,United Kingdom
319995,C564955,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,8/31/2011 13:39,2.95,15786.0,United Kingdom
319996,C564956,23292,SPACEBOY CHILDRENS CUP,-1,8/31/2011 13:41,1.25,16303.0,United Kingdom
319997,C564956,20979,36 PENCILS TUBE RED RETROSPOT,-16,8/31/2011 13:41,1.25,16303.0,United Kingdom
319998,C564956,20977,36 PENCILS TUBE WOODLAND,-16,8/31/2011 13:41,1.25,16303.0,United Kingdom
319999,C564956,21452,TOADSTOOL MONEY BOX,-2,8/31/2011 13:41,2.95,16303.0,United Kingdom
320000,C564956,22637,PIGGY BANK RETROSPOT ,-3,8/31/2011 13:41,2.55,16303.0,United Kingdom
320047,C564960,23035,DRAWER KNOB CERAMIC IVORY,-6,8/31/2011 14:24,1.45,14525.0,United Kingdom
320048,C564960,23025,DRAWER KNOB VINTAGE GLASS BALL,-6,8/31/2011 14:24,2.08,14525.0,United Kingdom
320140,C564964,22698,PINK REGENCY TEACUP AND SAUCER,-2,8/31/2011 15:00,2.95,17315.0,United Kingdom
320141,C564964,22637,PIGGY BANK RETROSPOT ,-1,8/31/2011 15:00,2.55,17315.0,United Kingdom
320142,C564964,22697,GREEN REGENCY TEACUP AND SAUCER,-1,8/31/2011 15:00,2.95,17315.0,United Kingdom
320143,C564964,22699,ROSES REGENCY TEACUP AND SAUCER ,-1,8/31/2011 15:00,2.95,17315.0,United Kingdom
320144,C564964,23301,GARDENERS KNEELING PAD KEEP CALM ,-1,8/31/2011 15:00,1.65,17315.0,United Kingdom
320172,C564971,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,8/31/2011 15:29,9.95,13466.0,United Kingdom
320550,C564996,20726,LUNCH BAG WOODLAND,-1,8/31/2011 16:10,1.65,17677.0,United Kingdom
320551,C564997,21705,BAG 500g SWIRLY MARBLES,-7,8/31/2011 16:13,1.45,15625.0,United Kingdom
320552,C564998,23343,JUMBO BAG VINTAGE CHRISTMAS ,-20,8/31/2011 16:14,2.08,17581.0,United Kingdom
320553,C565001,22767,TRIPLE PHOTO FRAME CORNICE ,-4,8/31/2011 16:23,9.95,17675.0,United Kingdom
320569,C565016,22147,FELTCRAFT BUTTERFLY HEARTS,-6,8/31/2011 16:28,1.45,15764.0,United Kingdom
320570,C565016,85053,FRENCH ENAMEL CANDLEHOLDER,-1,8/31/2011 16:28,2.1,15764.0,United Kingdom
320571,C565016,23168,CLASSIC CAFE SUGAR DISPENSER,-1,8/31/2011 16:28,1.25,15764.0,United Kingdom
320572,C565023,22988,SOLDIERS EGG CUP ,-24,8/31/2011 16:30,1.06,12901.0,United Kingdom
320573,C565025,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,8/31/2011 16:32,4.95,13050.0,United Kingdom
320574,C565025,82494L,WOODEN FRAME ANTIQUE WHITE ,-2,8/31/2011 16:32,2.95,13050.0,United Kingdom
320575,C565026,85023B,EAU DE NILE JEWELLED PHOTOFRAME,-72,8/31/2011 16:34,2.1,13694.0,United Kingdom
320576,565042,85185B,,-27,8/31/2011 17:01,0.0,,United Kingdom
320578,C565044,23215,JINGLE BELL HEART ANTIQUE SILVER,-120,8/31/2011 17:02,1.79,12931.0,United Kingdom
320579,C565044,22493,PAINT YOUR OWN CANVAS SET,-160,8/31/2011 17:02,1.45,12931.0,United Kingdom
320580,C565044,22191,IVORY DINER WALL CLOCK,-318,8/31/2011 17:02,7.65,12931.0,United Kingdom
320581,C565044,21731,RED TOADSTOOL LED NIGHT LIGHT,-126,8/31/2011 17:02,1.45,12931.0,United Kingdom
320582,C565044,21479,WHITE SKULL HOT WATER BOTTLE ,-144,8/31/2011 17:02,3.39,12931.0,United Kingdom
320583,C565044,20829,GLITTER HANGING BUTTERFLY STRING,-113,8/31/2011 17:02,1.69,12931.0,United Kingdom
320584,C565044,11001,ASSTD DESIGN RACING CAR PEN,-180,8/31/2011 17:02,1.27,12931.0,United Kingdom
320585,565045,21670,,-115,8/31/2011 17:03,0.0,,United Kingdom
320586,565046,22606,,-49,8/31/2011 17:04,0.0,,United Kingdom
320588,565048,84976,,-66,8/31/2011 17:06,0.0,,United Kingdom
320589,565049,21907,,-77,8/31/2011 17:09,0.0,,United Kingdom
320590,C565050,85159B,"WHITE TEA,COFFEE,SUGAR JARS",-1,8/31/2011 17:10,1.95,12381.0,Norway
320591,C565050,23198,PANTRY MAGNETIC  SHOPPING LIST,-10,8/31/2011 17:10,1.45,12381.0,Norway
320592,C565050,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,-2,8/31/2011 17:10,4.95,12381.0,Norway
320593,C565050,21791,VINTAGE HEADS AND TAILS CARD GAME ,-12,8/31/2011 17:10,1.25,12381.0,Norway
320594,565052,21179,,-60,8/31/2011 17:11,0.0,,United Kingdom
320595,565055,21172,,-10,8/31/2011 17:11,0.0,,United Kingdom
320619,565057,82551,,-110,8/31/2011 17:12,0.0,,United Kingdom
320620,565060,21165,,-46,8/31/2011 17:15,0.0,,United Kingdom
320621,565063,21175,,-18,8/31/2011 17:15,0.0,,United Kingdom
320693,565069,20665,,-49,8/31/2011 17:18,0.0,,United Kingdom
320695,565071,84754,,-242,8/31/2011 17:21,0.0,,United Kingdom
320696,565072,21820,,-210,8/31/2011 17:22,0.0,,United Kingdom
320697,C565075,D,Discount,-1,8/31/2011 17:25,36.3,13408.0,United Kingdom
320698,C565075,D,Discount,-1,8/31/2011 17:25,38.39,13408.0,United Kingdom
320700,C565077,23196,VINTAGE LEAF MAGNETIC NOTEPAD,-3,8/31/2011 17:31,1.45,17451.0,United Kingdom
320701,C565077,22189,CREAM HEART CARD HOLDER,-1,8/31/2011 17:31,3.95,17451.0,United Kingdom
320702,C565077,23239,SET OF 4 KNICK KNACK TINS POPPIES,-1,8/31/2011 17:31,4.15,17451.0,United Kingdom
320703,C565077,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,-12,8/31/2011 17:31,1.45,17451.0,United Kingdom
320704,C565078,D,Discount,-1,8/31/2011 17:45,57.6,16422.0,United Kingdom
320728,C565085,23079,TOADSTOOL BEDSIDE LIGHT ,-2,9/1/2011 9:40,8.95,12474.0,Germany
320761,C565089,22553,PLASTERS IN TIN SKULLS,-12,9/1/2011 10:27,1.65,12645.0,Germany
321203,C565140,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-1,9/1/2011 12:56,2.95,17841.0,United Kingdom
321204,C565140,20725,LUNCH BAG RED RETROSPOT,-1,9/1/2011 12:56,1.65,17841.0,United Kingdom
321205,C565140,22429,ENAMEL MEASURING JUG CREAM,-1,9/1/2011 12:56,4.25,17841.0,United Kingdom
321971,C565215,21581,SKULLS  DESIGN  COTTON TOTE BAG,-12,9/1/2011 17:22,2.25,16474.0,United Kingdom
322129,C565227,85053,FRENCH ENAMEL CANDLEHOLDER,-1,9/2/2011 9:06,2.1,12708.0,Germany
322132,C565229,POST,POSTAGE,-1,9/2/2011 9:12,200.0,17450.0,United Kingdom
323021,C565237,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-8,9/2/2011 9:47,2.95,14299.0,United Kingdom
323022,C565237,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,9/2/2011 9:47,4.95,14299.0,United Kingdom
323023,C565237,23245,SET OF 3 REGENCY CAKE TINS,-2,9/2/2011 9:47,4.95,14299.0,United Kingdom
323024,C565237,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,-1,9/2/2011 9:47,4.95,14299.0,United Kingdom
323025,C565237,23244,ROUND STORAGE TIN VINTAGE LEAF,-3,9/2/2011 9:47,1.95,14299.0,United Kingdom
323241,565275,90209C,,-72,9/2/2011 11:08,0.0,,United Kingdom
323242,C565284,23245,SET OF 3 REGENCY CAKE TINS,-2,9/2/2011 11:31,4.95,12471.0,Germany
323243,C565284,23241,TREASURE TIN GYMKHANA DESIGN,-1,9/2/2011 11:31,2.08,12471.0,Germany
323244,C565284,23198,PANTRY MAGNETIC  SHOPPING LIST,-1,9/2/2011 11:31,1.45,12471.0,Germany
323245,C565284,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,-1,9/2/2011 11:31,1.45,12471.0,Germany
323246,C565284,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,9/2/2011 11:31,1.25,12471.0,Germany
323247,C565284,23236,STORAGE TIN VINTAGE DOILY ,-1,9/2/2011 11:31,2.89,12471.0,Germany
323248,C565284,22423,REGENCY CAKESTAND 3 TIER,-6,9/2/2011 11:31,10.95,12471.0,Germany
323342,C565290,22307,GOLD MUG BONE CHINA TREE OF LIFE,-24,9/2/2011 11:46,1.25,16092.0,United Kingdom
323368,C565294,20981,12 PENCILS TALL TUBE WOODLAND,-12,9/2/2011 12:00,0.85,12423.0,Belgium
323389,565296,84929,code mix up? 84930,-967,9/2/2011 12:04,0.0,,United Kingdom
323390,565297,84877D,?,-203,9/2/2011 12:06,0.0,,United Kingdom
323391,565302,21682,?display?,-156,9/2/2011 12:16,0.0,,United Kingdom
323458,565304,16259,,-3167,9/2/2011 12:18,0.0,,United Kingdom
323459,C565305,40001,WHITE BAMBOO RIBS LAMPSHADE,-9,9/2/2011 12:18,0.64,15311.0,United Kingdom
323460,C565305,75049L,LARGE CIRCULAR MIRROR MOBILE,-2,9/2/2011 12:18,0.85,15311.0,United Kingdom
323461,565306,21830,sold as 1,-252,9/2/2011 12:20,0.0,,United Kingdom
323462,565307,21830,?,-443,9/2/2011 12:20,0.0,,United Kingdom
323463,565308,21829,sold as 1,-432,9/2/2011 12:22,0.0,,United Kingdom
323469,565310,21829,?missing,-1897,9/2/2011 12:26,0.0,,United Kingdom
323492,C565313,D,Discount,-1,9/2/2011 12:41,14.5,14527.0,United Kingdom
323493,565314,84660C,,-21,9/2/2011 12:43,0.0,,United Kingdom
323597,C565323,21658,GLASS  BEURRE DISH,-1,9/2/2011 13:16,3.95,14606.0,United Kingdom
323598,C565323,47566,PARTY BUNTING,-1,9/2/2011 13:16,4.95,14606.0,United Kingdom
323599,C565323,21481,FAWN BLUE HOT WATER BOTTLE,-1,9/2/2011 13:16,3.75,14606.0,United Kingdom
323872,565370,82494L,crushed ctn,-33,9/2/2011 15:04,0.0,,United Kingdom
323873,565371,82483,crushed,-13,9/2/2011 15:04,0.0,,United Kingdom
323955,C565379,85099B,JUMBO BAG RED RETROSPOT,-1,9/2/2011 15:17,2.08,14415.0,United Kingdom
323956,C565379,23184,BULL DOG BOTTLE OPENER,-1,9/2/2011 15:17,4.95,14415.0,United Kingdom
324023,C565382,CRUK,CRUK Commission,-1,9/2/2011 15:45,13.01,14096.0,United Kingdom
324024,565385,22435,?missing,-434,9/2/2011 15:46,0.0,,United Kingdom
324131,565389,47343A,,-16,9/2/2011 16:19,0.0,,United Kingdom
324132,C565390,D,Discount,-1,9/2/2011 16:23,110.43,13408.0,United Kingdom
324483,C565402,22197,POPCORN HOLDER,-2,9/2/2011 17:51,0.85,16401.0,United Kingdom
324484,C565402,20725,LUNCH BAG RED RETROSPOT,-2,9/2/2011 17:51,1.65,16401.0,United Kingdom
324485,C565403,22156,HEART DECORATION WITH PEARLS ,-36,9/2/2011 17:53,0.85,16187.0,United Kingdom
324904,C565422,22776,SWEETHEART 3 TIER CAKE STAND ,-1,9/4/2011 12:15,9.95,17774.0,United Kingdom
324927,C565425,22526,WHEELBARROW FOR CHILDREN ,-3,9/4/2011 12:40,12.75,15561.0,United Kingdom
324928,C565425,23126,FELTCRAFT GIRL AMELIE KIT,-3,9/4/2011 12:40,4.95,15561.0,United Kingdom
324929,C565425,23128,FELTCRAFT BOY JEAN-PAUL KIT,-3,9/4/2011 12:40,4.95,15561.0,United Kingdom
324930,C565425,23127,FELTCRAFT GIRL NICOLE KIT,-2,9/4/2011 12:40,4.95,15561.0,United Kingdom
325011,C565428,22231,JIGSAW TREE WITH BIRDHOUSE,-5,9/4/2011 12:53,1.31,12867.0,United Kingdom
325012,C565428,22230,JIGSAW TREE WITH WATERING CAN,-1,9/4/2011 12:53,0.78,12867.0,United Kingdom
325013,C565428,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,-2,9/4/2011 12:53,0.65,12867.0,United Kingdom
325014,C565428,79190B,RETRO PLASTIC POLKA TRAY,-1,9/4/2011 12:53,0.42,12867.0,United Kingdom
325015,C565428,M,Manual,-1,9/4/2011 12:53,4.25,12867.0,United Kingdom
326187,C565477,21012,ANTIQUE ALL GLASS CANDLESTICK,-3,9/5/2011 10:58,2.1,13630.0,United Kingdom
326649,C565581,22139,RETROSPOT TEA SET CERAMIC 11 PC ,-3,9/5/2011 12:37,4.95,14565.0,United Kingdom
326650,C565582,20725,LUNCH BAG RED RETROSPOT,-100,9/5/2011 12:38,1.45,14156.0,EIRE
326853,C565597,22980,PANTRY SCRUBBING BRUSH,-1,9/5/2011 14:29,1.65,12709.0,Germany
326854,C565597,22666,RECIPE BOX PANTRY YELLOW DESIGN,-1,9/5/2011 14:29,2.95,12709.0,Germany
326855,C565597,22625,RED KITCHEN SCALES,-1,9/5/2011 14:29,7.65,12709.0,Germany
326856,C565597,21658,GLASS  BEURRE DISH,-2,9/5/2011 14:29,3.39,12709.0,Germany
326954,C565615,22423,REGENCY CAKESTAND 3 TIER,-1,9/5/2011 15:20,12.75,12683.0,France
326955,C565615,23325,RUSTIC STRAWBERRY JAM POT SMALL,-7,9/5/2011 15:20,1.65,12683.0,France
326956,C565615,21197,MULTICOLOUR  CONFETTI IN TUBE,-21,9/5/2011 15:20,1.65,12683.0,France
326957,C565615,22976,CIRCUS PARADE CHILDRENS EGG CUP ,-1,9/5/2011 15:20,1.25,12683.0,France
326958,C565615,22972,CHILDREN'S SPACEBOY MUG,-10,9/5/2011 15:20,1.65,12683.0,France
326959,C565615,23236,STORAGE TIN VINTAGE DOILY ,-1,9/5/2011 15:20,2.89,12683.0,France
326960,C565615,23249,VINTAGE RED ENAMEL TRIM PLATE,-6,9/5/2011 15:20,1.65,12683.0,France
326961,C565615,22842,BISCUIT TIN VINTAGE RED,-2,9/5/2011 15:20,6.75,12683.0,France
326962,C565615,23348,CHILDRENS TOY COOKING UTENSIL SET,-6,9/5/2011 15:20,2.08,12683.0,France
327414,C565666,22188,BLACK HEART CARD HOLDER,-1,9/5/2011 17:46,3.95,15856.0,United Kingdom
327415,C565666,22187,GREEN CHRISTMAS TREE CARD HOLDER,-2,9/5/2011 17:46,4.25,15856.0,United Kingdom
327457,C565671,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,-1,9/6/2011 9:30,9.95,14796.0,United Kingdom
327458,C565671,22059,CERAMIC STRAWBERRY DESIGN MUG,-1,9/6/2011 9:30,1.49,14796.0,United Kingdom
327636,C565681,23445,ICE CREAM BUBBLES,-20,9/6/2011 10:42,0.83,15521.0,United Kingdom
327637,C565681,23256,CHILDRENS CUTLERY SPACEBOY ,-4,9/6/2011 10:42,4.15,15521.0,United Kingdom
327638,C565681,23254,CHILDRENS CUTLERY DOLLY GIRL ,-4,9/6/2011 10:42,4.15,15521.0,United Kingdom
327639,C565681,23203,JUMBO BAG VINTAGE DOILY ,-10,9/6/2011 10:42,2.08,15521.0,United Kingdom
327640,C565681,23201,JUMBO BAG ALPHABET,-10,9/6/2011 10:42,2.08,15521.0,United Kingdom
327641,C565681,22622,BOX OF VINTAGE ALPHABET BLOCKS,-2,9/6/2011 10:42,11.95,15521.0,United Kingdom
327642,C565681,22333,RETROSPOT PARTY BAG + STICKER SET,-8,9/6/2011 10:42,1.65,15521.0,United Kingdom
327643,C565681,22332,SKULLS PARTY BAG + STICKER SET,-8,9/6/2011 10:42,1.65,15521.0,United Kingdom
327644,C565681,21915,RED  HARMONICA IN BOX ,-12,9/6/2011 10:42,1.25,15521.0,United Kingdom
327645,C565681,21731,RED TOADSTOOL LED NIGHT LIGHT,-12,9/6/2011 10:42,1.65,15521.0,United Kingdom
327646,C565681,20749,ASSORTED COLOUR MINI CASES,-2,9/6/2011 10:42,7.95,15521.0,United Kingdom
327647,C565683,21891,TRADITIONAL WOODEN SKIPPING ROPE,-12,9/6/2011 10:42,1.45,15521.0,United Kingdom
328090,C565752,21686,MEDINA STAMPED METAL STOOL,-1,9/6/2011 12:58,39.95,17841.0,United Kingdom
328091,C565752,23237,SET OF 4 KNICK KNACK TINS LEAF,-1,9/6/2011 12:58,4.15,17841.0,United Kingdom
328153,C565761,22722,SET OF 6 SPICE TINS PANTRY DESIGN,-4,9/6/2011 13:59,3.95,16278.0,United Kingdom
328154,C565762,20724,RED RETROSPOT CHARLOTTE BAG,-19,9/6/2011 14:05,0.85,14040.0,United Kingdom
328578,C565789,84949,SILVER HANGING T-LIGHT HOLDER,-5,9/7/2011 9:07,1.65,16735.0,United Kingdom
328579,C565789,22488,NATURAL SLATE RECTANGLE CHALKBOARD,-12,9/7/2011 9:07,1.65,16735.0,United Kingdom
328647,C565799,22624,IVORY KITCHEN SCALES,-1,9/7/2011 10:17,8.5,13999.0,United Kingdom
328768,C565804,22846,BREAD BIN DINER STYLE RED ,-1,9/7/2011 10:50,16.95,17491.0,United Kingdom
329371,C565843,21788,KIDS RAIN MAC BLUE,-1,9/7/2011 12:15,0.85,14606.0,United Kingdom
329372,C565843,85194S,HANGING SPRING FLOWER EGG SMALL,-1,9/7/2011 12:15,0.19,14606.0,United Kingdom
329373,C565843,22151,PLACE SETTING WHITE HEART,-1,9/7/2011 12:15,0.42,14606.0,United Kingdom
329629,C565848,84991,60 TEATIME FAIRY CAKE CASES,-5,9/7/2011 12:48,0.55,14606.0,United Kingdom
329630,C565848,22644,CERAMIC CHERRY CAKE MONEY BANK,-2,9/7/2011 12:48,1.45,14606.0,United Kingdom
329631,C565848,22697,GREEN REGENCY TEACUP AND SAUCER,-2,9/7/2011 12:48,2.95,14606.0,United Kingdom
329632,C565848,22698,PINK REGENCY TEACUP AND SAUCER,-2,9/7/2011 12:48,2.95,14606.0,United Kingdom
329633,C565848,22699,ROSES REGENCY TEACUP AND SAUCER ,-2,9/7/2011 12:48,2.95,14606.0,United Kingdom
329634,C565848,21669,BLUE STRIPE CERAMIC DRAWER KNOB,-12,9/7/2011 12:48,1.45,14606.0,United Kingdom
329635,C565848,21670,BLUE SPOT CERAMIC DRAWER KNOB,-38,9/7/2011 12:48,1.45,14606.0,United Kingdom
329636,C565848,21671,RED SPOT CERAMIC DRAWER KNOB,-15,9/7/2011 12:48,1.45,14606.0,United Kingdom
329637,C565848,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,-36,9/7/2011 12:48,1.45,14606.0,United Kingdom
329638,C565848,22998,TRAVEL CARD WALLET KEEP CALM,-16,9/7/2011 12:48,0.42,14606.0,United Kingdom
329639,C565848,21479,WHITE SKULL HOT WATER BOTTLE ,-1,9/7/2011 12:48,4.25,14606.0,United Kingdom
329640,C565848,84029E,RED WOOLLY HOTTIE WHITE HEART.,-1,9/7/2011 12:48,4.25,14606.0,United Kingdom
329641,C565848,21485,RETROSPOT HEART HOT WATER BOTTLE,-1,9/7/2011 12:48,4.95,14606.0,United Kingdom
329642,C565848,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-1,9/7/2011 12:48,4.25,14606.0,United Kingdom
329643,C565848,47566,PARTY BUNTING,-1,9/7/2011 12:48,4.95,14606.0,United Kingdom
329644,C565848,23201,JUMBO BAG ALPHABET,-1,9/7/2011 12:48,2.08,14606.0,United Kingdom
329645,C565848,22385,JUMBO BAG SPACEBOY DESIGN,-1,9/7/2011 12:48,2.08,14606.0,United Kingdom
329646,C565848,85099F,JUMBO BAG STRAWBERRY,-1,9/7/2011 12:48,2.08,14606.0,United Kingdom
329647,C565848,21931,JUMBO STORAGE BAG SUKI,-1,9/7/2011 12:48,2.08,14606.0,United Kingdom
329648,C565848,85099B,JUMBO BAG RED RETROSPOT,-4,9/7/2011 12:48,2.08,14606.0,United Kingdom
329649,C565848,22988,SOLDIERS EGG CUP ,-1,9/7/2011 12:48,1.25,14606.0,United Kingdom
329650,C565848,22659,LUNCH BOX I LOVE LONDON,-1,9/7/2011 12:48,1.95,14606.0,United Kingdom
329651,C565848,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,-1,9/7/2011 12:48,2.1,14606.0,United Kingdom
329652,C565848,22713,CARD I LOVE LONDON ,-8,9/7/2011 12:48,0.42,14606.0,United Kingdom
329993,C565864,21833,CAMOUFLAGE LED TORCH,-5,9/7/2011 15:00,1.69,15752.0,United Kingdom
330769,C565925,POST,POSTAGE,-1,9/8/2011 10:02,18.0,12471.0,Germany
331018,565935,23064,Crushed,-8,9/8/2011 10:46,0.0,,United Kingdom
331029,565938,23066,,-13,9/8/2011 10:54,0.0,,United Kingdom
331030,C565962,21156,RETROSPOT CHILDRENS APRON,-1,9/8/2011 11:25,1.95,14410.0,United Kingdom
331031,C565962,22899,CHILDREN'S APRON DOLLY GIRL ,-1,9/8/2011 11:25,2.1,14410.0,United Kingdom
331032,C565962,22367,CHILDRENS APRON SPACEBOY DESIGN,-2,9/8/2011 11:25,1.95,14410.0,United Kingdom
331033,C565962,M,Manual,-12,9/8/2011 11:25,1.25,14410.0,United Kingdom
331034,C565962,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,9/8/2011 11:25,2.95,14410.0,United Kingdom
331035,C565962,22975,SPACEBOY CHILDRENS EGG CUP,-1,9/8/2011 11:25,1.25,14410.0,United Kingdom
331036,C565962,22972,CHILDREN'S SPACEBOY MUG,-1,9/8/2011 11:25,1.65,14410.0,United Kingdom
331037,C565962,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,-17,9/8/2011 11:25,0.55,14410.0,United Kingdom
